,close,high,low,trade_count,open,volume,vwap,SMA_5,SMA_10
2026-02-17,185.11,187.14,179.2,43753,181.75,4729350,183.623982,,
2026-02-18,187.89,190.37,186.77,36184,188.64,3858348,188.703373,,
2026-02-19,187.885,188.42,185.66,27651,187.02,2880200,186.996443,,
2026-02-20,189.76,190.32,185.95,47868,186.53,4749183,188.902265,,
2026-02-23,191.585,193.95,189.58,34475,191.405,3765048,191.409958,188.446,
2026-02-24,192.865,193.75,187.43,37810,191.465,3784879,192.178574,189.997,
2026-02-25,195.83,197.62,193.8,44685,194.47,4593038,196.296701,191.58499999999998,
2026-02-26,184.86,194.13,184.315,68621,194.13,6847418,186.926678,190.98000000000002,
2026-02-27,177.205,182.59,176.38,84627,181.24,11199349,179.616888,188.469,
2026-03-02,182.4,183.455,174.75,75944,174.81,6162381,181.522316,186.632,187.53900000000002
2026-03-03,180.03,180.885,176.92,47061,178.48,4862908,179.361876,184.065,187.031
2026-03-04,182.97,184.695,180.07,50333,180.37,4961561,182.850673,181.49300000000002,186.53900000000002
2026-03-05,183.305,184.06,177.92,51120,181.22,5437280,181.425238,181.182,186.081
2026-03-06,177.7,182.75,176.83,51953,179.88,5614175,180.165012,181.281,184.875
2026-03-09,182.65,182.88,175.56,40898,176.815,4524533,179.377269,181.331,183.9815
2026-03-10,184.765,186.435,182.02,43867,182.44,4343566,184.659775,182.278,183.17149999999998
2026-03-11,186.01,187.6,184.45,29382,185.92,3077851,185.862752,182.88600000000002,182.1895
2026-03-12,183.11,184.925,181.75,35562,184.0,3527145,183.329068,182.847,182.0145
2026-03-13,180.21,186.04,179.945,33681,184.955,3301217,182.098362,183.34900000000002,182.315
2026-03-16,183.17,188.83,181.42,49074,182.94,5794271,184.3595,183.453,182.392
2026-03-17,181.96,185.39,181.71,37882,185.055,4385266,182.776758,182.892,182.58499999999998
